TimeSecsClass,p1,p2,p3,p4,DownClass,yrdline100Class,FavScoreDiffClass
54,0.154747776489,,0.227452004208,,1,2,1
54,,,0.0759150674929,,2,2,1
54,,,0.0822079715817,,3,2,1
54,,,,,4,2,1
55,,,0.229890992123,,1,2,1
55,0.76814621914,,0.0762260737332,,2,2,1
55,0.496660908274,,0.0815176814649,,3,2,1
55,0.623188405796,,,,4,2,1
56,0.646998915669,,0.232329980037,,1,2,1
56,0.912515363426,,0.0765370799736,,2,2,1
56,0.358998732572,,0.0808273913481,,3,2,1
56,,,,,4,2,1
57,0.399436972162,,0.234768967952,,1,2,1
57,,,0.0768480862139,,2,2,1
57,,,0.0801371012313,,3,2,1
57,,,,,4,2,1
58,0.280919690532,,0.237207955866,,1,2,1
58,,,0.0771590924542,,2,2,1
58,0.352941176471,,0.0794468111145,,3,2,1
58,0.3,,,,4,2,1
59,0.433962264151,,0.239646943781,,1,2,1
59,0.538461538462,,0.0774700986946,,2,2,1
59,0.5,,0.0787565209977,,3,2,1
59,0.555555555556,,,,4,2,1
60,0.516129032258,,0.242085931696,,1,2,1
60,0.619047619048,,0.0777811049349,,2,2,1
60,0.571428571429,,0.0780662308809,,3,2,1
60,,,,,4,2,1
0,,,0.0859788524342,,1,3,1
0,,,0.0537068489427,,2,3,1
0,,,0.26560664959,,3,3,1
0,,,0.00316623493736,,4,3,1
1,,0.0431388994377,0.0871354130928,,1,3,1
1,,,0.0609237991095,,2,3,1
1,,0.0129213763904,0.247628684903,,3,3,1
1,,0.124614270282,0.0139193435365,,4,3,1
2,,0.0698199137642,0.0882919737515,0.0405391704936,1,3,1
2,,0.111210524266,0.0681407492763,0.0405391704936,2,3,1
2,,0.0828922109936,0.229650720217,0.0405391704936,3,3,1
2,,0.161094980933,0.0246724521356,0.0405391704936,4,3,1
3,,0.0971463688632,0.0894485344101,,1,3,1
3,,0.101519984108,0.0753576994431,,2,3,1
3,,0.113916895709,0.21167275553,,3,3,1
3,,0.390982199305,0.0354255607347,,4,3,1
4,,0.141954276532,0.0906050950688,0.0461786693338,1,3,1
4,,0.0378250054326,0.0825746496099,0.0461786693338,2,3,1
4,,0.0717544373035,0.193694790844,0.0461786693338,3,3,1
4,,0.0814771071515,0.0461786693338,0.0461786693338,4,3,1
5,,0.144956233112,0.0917616557274,0.129749328802,1,3,1
5,,0.0794272733063,0.0897915997767,0.153190599008,2,3,1
5,,0.184785625712,0.175716826158,0.176631869215,3,3,1
5,,0.0673834202932,0.0569317779329,0.200073139422,4,3,1
6,,0.10648220865,0.0929182163861,0.0866268025444,1,3,1
6,,0.083221811478,0.0970085499435,0.0866268025444,2,3,1
6,,0.0253139743823,0.157738861471,0.0866268025444,3,3,1
6,,,0.067684886532,0.0866268025444,4,3,1
7,,0.0370248938206,0.0940747770447,,1,3,1
7,,0.122065503617,0.10422550011,,2,3,1
7,,0.102103557012,0.139760896785,,3,3,1
7,,,0.0784379951311,,4,3,1
8,,0.220966159048,0.0952313377034,,1,3,1
8,,0.0784929989894,0.111442450277,,2,3,1
8,,0.0778660773472,0.121782932098,,3,3,1
8,,0.0775167627942,0.0891911037302,,4,3,1
